"","Study","Authors","Year","Source","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"56","15-Tr","Trezza, Apolinario, de Oliveira, Busse, Gonçalves, Saldiva, Jacob-Filho",2015,"AGE","Sao Paulo","Brazil","Temperate",68,21,47,73.3,"NA","YES","YES",NA,NA,"Rapid visual processing","Sustained Attention","RT","Speed",NA,NA,23.8,32.1,547.08,555.79,8.3,27.95,NA,NA,-0.191817940769437,"Psychomotor","S","Absolute"
"57","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",12,6,6,23,"NA","NO","YES",0.9,0.9,"Text typing","Simulated Work","RT","Speed",0.01,2.14,23.3,31.1,0.538,0.528,7.8,27.2,2.13,1.075,0.238299494805071,"Cognitive","C","Absolute"
"58","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",10,10,0,23,"Students","YES","YES",0.1,0.1,"Addition","Mathematical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,19.9,22.1,7.8,27.2,2.13,1.075,-1.41734312588584,"Cognitive","C","Absolute"
"59","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",36,18,18,22.3,"Students","NO","YES",0.7,0.7,"Redirection","Spatial Memory","RT","Speed",0.01,2.14,23.3,31.1,1.084,1.116,7.8,27.2,2.13,1.075,-0.37846532311477,"Cognitive","C","Absolute"
"60","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",18,12,6,22.9,"Students","YES","YES",0.7,0.7,"Grammatical reasoning","Grammatical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,6.764,7.811,7.8,27.2,2.13,1.075,-1.98448801346495,"Cognitive","C","Absolute"
"61","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",18,11,7,21.2,"Students","YES","YES",0.5,0.5,"Stroop","Inhibition","RT","Speed",0.01,2.14,23.3,31.1,1.955,2.151,7.8,27.2,2.13,1.075,-1.28533018558594,"Perceptual","S","Absolute"
"62","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",68,21,47,73.3,"NA","YES","YES",NA,NA,"Number calculation","Mathematical Reasoning","RT","Speed",0.01,2.14,23.3,31.1,4.381,4.6,7.8,27.2,2.13,1.075,-0.640879321545834,"Cognitive","C","Absolute"
"63","11-Lan","Lan, Wargocki, Lian",2011,"Energy and Buildings","NA","China","Continental",33,17,16,23,"Students","NO","NO",0.83,0.83,"Visual reaction time","Sustained Attention","RT","Speed",0.01,2.14,23.3,31.1,0.595,0.648,7.8,27.2,2.13,1.075,-1.14199525964232,"Psychomotor","S","Absolute"
"64","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Numerical reasoning","Mathematical Reasoning","NOE","Speed",NA,NA,20.2,23.2,2.4,2.5,3,21.7,NA,NA,1.38888888888889,"Cognitive","C","Absolute"
"65","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Numerical reasoning","Mathematical Reasoning","NOE","Speed",NA,NA,23.2,26,2.5,2.4,2.8,24.6,NA,NA,-1.42857142857143,"Cognitive","C","Absolute"
"66","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Alphabetical reasoning","Grammatical Reasoning","NOE","Speed",NA,NA,20.2,23.2,18.9,19.6,3,21.7,NA,NA,1.23456790123457,"Cognitive","C","Absolute"
"67","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Alphabetical reasoning","Grammatical Reasoning","NOE","Speed",NA,NA,23.2,26,19.6,19.1,2.8,24.6,NA,NA,-0.911078717201166,"Cognitive","C","Absolute"
"68","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Concentration endurance","Visual Searching","NOE","Speed",NA,NA,20.2,23.2,148.8,152.5,3,21.7,NA,NA,0.828853046594979,"Perceptual","S","Absolute"
"69","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Concentration endurance","Visual Searching","NOE","Speed",NA,NA,23.2,26,152.5,149.7,2.8,24.6,NA,NA,-0.655737704918035,"Perceptual","S","Absolute"
"70","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Arousal","Visual Searching","NOE","Speed",NA,NA,20.2,23.2,14,14,3,21.7,NA,NA,0,"Perceptual","S","Absolute"
"71","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Arousal","Visual Searching","NOE","Speed",NA,NA,23.2,26,14,15,2.8,24.6,NA,NA,2.55102040816326,"Perceptual","S","Absolute"
"72","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Addition","Mathematical Reasoning","NOE","Speed",NA,NA,20.2,23.2,27.1,26.8,3,21.7,NA,NA,-0.369003690036901,"Cognitive","C","Absolute"
"73","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Addition","Mathematical Reasoning","NOE","Speed",NA,NA,23.2,26,26.8,27,2.8,24.6,NA,NA,0.266524520255862,"Cognitive","C","Absolute"
"74","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Proofreading","Verbal Comprehension","NOE","Speed",NA,NA,20.2,23.2,21.7,18.8,3,21.7,NA,NA,-4.45468509984639,"Cognitive","C","Absolute"
"75","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Proofreading","Verbal Comprehension","NOE","Speed",NA,NA,23.2,26,18.8,21.1,2.8,24.6,NA,NA,4.3693009118541,"Cognitive","C","Absolute"
"76","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Text typing","Simulated Work","NOE","Speed",NA,NA,20.2,23.2,31.9,30.7,3,21.7,NA,NA,-1.25391849529781,"Cognitive","C","Absolute"
"77","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Text typing","Simulated Work","NOE","Speed",NA,NA,23.2,26,30.7,30.9,2.8,24.6,NA,NA,0.232666356444857,"Cognitive","C","Absolute"
"78","10-Th","Tham, Willem",2010,"Building and Environment","Singapore","Singapore","Tropical",96,48,48,21.5,"Students","YES","YES",NA,NA,"Text typing","Simulated Work","NOE","Speed",NA,NA,20.2,23.2,195.5,188.2,3,21.7,NA,NA,-1.24467178175618,"Cognitive","C","Absolute"
